Census-Mortality Tables Austrian Males,,,,,,,,,,,,,,
Source: Statistik Austria. Alexander Hanika,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
x,1868/71,1879/82,1889/92,1899/1902,1909/12,1930/33,1949/51,1959/61,1970/72,1980/82,1990/92,2000/02,2010/12,2020/22
57,0.031123,0.02958,0.028884,0.027887,0.027339,0.0218,0.01846,0.01732,0.01529,0.014601,0.0115953,0.0089745,0.00765337111946349,0.0060858103563914
58,0.033259,0.031426,0.030955,0.02975,0.029202,0.02338,0.01993,0.01912,0.01695,0.015786,0.0127831,0.0096238,0.00846044144892736,0.0067576280448144
59,0.035737,0.033521,0.033237,0.031838,0.031336,0.0251,0.02156,0.02104,0.01881,0.017054,0.0140661,0.0103254,0.00932539228710239,0.00751907008334331
60,0.038607,0.035905,0.035719,0.034147,0.033744,0.02672,0.02339,0.02311,0.02089,0.018408,0.0154529,0.0111153,0.010239966255187,0.00838992031546653
61,0.04181,0.038604,0.038405,0.036681,0.036404,0.02882,0.0254,0.02533,0.02323,0.019861,0.0169422,0.0120316,0.0111943656279751,0.00938824219936506
62,0.045265,0.041612,0.041286,0.039452,0.039276,0.03142,0.02754,0.02766,0.0258,0.021465,0.0185334,0.0131064,0.0121773025598203,0.0105063571315905
63,0.048862,0.044851,0.044341,0.042434,0.042321,0.03446,0.02988,0.03011,0.02856,0.0233,0.0202352,0.0143678,0.0131839431733137,0.0117167702186774
64,0.052512,0.048292,0.047587,0.046518,0.04552,0.0378,0.03245,0.03273,0.03158,0.025421,0.0220656,0.0158211,0.0142135098158873,0.0129914768233659
65,0.056185,0.051949,0.051091,0.049052,0.048932,0.04077,0.03533,0.03556,0.03491,0.027869,0.0240385,0.0174507,0.015273997156539,0.0143024723083959
66,0.060111,0.055938,0.054954,0.052774,0.052641,0.04412,0.03843,0.03865,0.03858,0.030667,0.0261662,0.0192473,0.0163849918121921,0.0156263188649238
67,0.0646,0.060462,0.059299,0.056875,0.05673,0.04724,0.04171,0.04193,0.04261,0.033833,0.0284651,0.021214,0.0175707591972468,0.0169960123776353
68,0.069883,0.065723,0.064303,0.061518,0.061302,0.05074,0.0453,0.04535,0.04697,0.037564,0.0309598,0.0233625,0.0188648985219643,0.0184826111777966
69,0.076161,0.071819,0.070108,0.066836,0.066417,0.05492,0.0493,0.04905,0.05164,0.041399,0.0336572,0.0257042,0.0203052137487585,0.020157886578989
