RP-2014 Rates: Total Dataset,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Total Dataset; Males,,,Total Dataset; Females,,,,Blue Collar; Males,,Blue Collar; Females,,,White Collar; Males,,White Collar; Females,,,,Juvenile Rates,
Age,Total Males Employee,Total Males Healthy Annuitant,Total Males Disabled Retiree,Total Females Employee,Total Females Healthy Annuitant,Total Females Disabled Retiree,,Blue Collar Male Employee,Blue Collar Male Healthy Annuitant,Blue Collar Female Employee,Blue Collar Female Healthy Annuitant,,White Collar Male Employee,White Collar Male Healthy Annuitant,White Collar Female Employee,White Collar Female Healthy Annuitant,,Age,Males,Females
84,,0.06929,0.104436,,0.054032,0.083652,,,0.078261,,0.058348,,,0.060449,,0.048457,,,,
85,,0.077497,0.113303,,0.060504,0.09042,,,0.086831,,0.065011,,,0.068396,,0.054613,,,,
86,,0.086712,0.123081,,0.067801,0.097694,,,0.096365,,0.072457,,,0.077396,,0.061611,,,,
87,,0.097038,0.13385,,0.076012,0.10551,,,0.106965,,0.080765,,,0.087552,,0.069553,,,,
88,,0.108591,0.145697,,0.08523,0.113909,,,0.11875,,0.09003,,,0.098978,,0.07855,,,,
89,,0.121499,0.158714,,0.095563,0.122939,,,0.13185,,0.100356,,,0.111806,,0.088723,,,,
90,,0.135908,0.173005,,0.107126,0.132652,,,0.14641,,0.111865,,,0.12619,,0.100207,,,,
91,,0.151322,0.187464,,0.119744,0.14342,,,0.161805,,0.124323,,,0.141713,,0.112848,,,,
92,,0.167422,0.2021,,0.133299,0.155186,,,0.177682,,0.137597,,,0.15813,,0.126555,,,,
93,,0.18403,0.216924,,0.14772,0.16789,,,0.193835,,0.151596,,,0.175288,,0.141281,,,,
94,,0.201074,0.231944,,0.162971,0.181474,,,0.210178,,0.166269,,,0.193131,,0.157007,,,,
95,,0.218559,0.247169,,0.179034,0.19588,,,0.226707,,0.181584,,,0.211674,,0.173736,,,,
96,,0.236535,0.26261,,0.195903,0.211049,,,0.24346,,0.197517,,,0.230976,,0.191477,,,,
97,,0.255059,0.278276,,0.213565,0.226923,,,0.260487,,0.214044,,,0.251106,,0.210235,,,,
98,,0.27417,0.294176,,0.231991,0.243443,,,0.27781,,0.231991,,,0.272113,,0.229998,,,,
99,,0.293848,0.31032,,0.251123,0.260551,,,0.295399,,0.251123,,,0.293848,,0.250723,,,,
100,,0.313988,0.326717,,0.270858,0.278189,,,0.313988,,0.270858,,,0.313988,,0.270858,,,,
101,,0.334365,0.343376,,0.29104,0.296297,,,0.334365,,0.29104,,,0.334365,,0.29104,,,,
102,,0.354599,0.360308,,0.311444,0.314819,,,0.354599,,0.311444,,,0.354599,,0.311444,,,,
103,,0.374524,0.377522,,0.3319,0.333694,,,0.374524,,0.3319,,,0.374524,,0.3319,,,,
104,,0.393982,0.395026,,0.352232,0.352865,,,0.393982,,0.352232,,,0.393982,,0.352232,,,,
105,,0.412831,0.412831,,0.372273,0.372273,,,0.412831,,0.372273,,,0.412831,,0.372273,,,,
106,,0.430946,0.430946,,0.39186,0.39186,,,0.430946,,0.39186,,,0.430946,,0.39186,,,,
107,,0.448227,0.448227,,0.410849,0.410849,,,0.448227,,0.410849,,,0.448227,,0.410849,,,,
108,,0.464592,0.464592,,0.429112,0.429112,,,0.464592,,0.429112,,,0.464592,,0.429112,,,,
109,,0.479987,0.479987,,0.446544,0.446544,,,0.479987,,0.446544,,,0.479987,,0.446544,,,,
110,,0.494376,0.494376,,0.463061,0.463061,,,0.494376,,0.463061,,,0.494376,,0.463061,,,,
111,,0.5,0.5,,0.478604,0.478604,,,0.5,,0.478604,,,0.5,,0.478604,,,,
112,,0.5,0.5,,0.493137,0.493137,,,0.5,,0.493137,,,0.5,,0.493137,,,,
113,,0.5,0.5,,0.5,0.5,,,0.5,,0.5,,,0.5,,0.5,,,,
114,,0.5,0.5,,0.5,0.5,,,0.5,,0.5,,,0.5,,0.5,,,,
115,,0.5,0.5,,0.5,0.5,,,0.5,,0.5,,,0.5,,0.5,,,,
116,,0.5,0.5,,0.5,0.5,,,0.5,,0.5,,,0.5,,0.5,,,,
117,,0.5,0.5,,0.5,0.5,,,0.5,,0.5,,,0.5,,0.5,,,,
118,,0.5,0.5,,0.5,0.5,,,0.5,,0.5,,,0.5,,0.5,,,,
119,,0.5,0.5,,0.5,0.5,,,0.5,,0.5,,,0.5,,0.5,,,,
120,,1,1,,1,1,,,1,,1,,,1,,1,,,,
