tariff,sex,premium,probability,age,smooth,raw,Exposure
(all),(all),EE,qx,69,0.009792490758162986,0.010101757374874362,81748.92150383863
(all),(all),EE,qx,70,0.010668175767227391,0.011246800820780754,80103.24123137137
(all),(all),EE,qx,71,0.011592049744655098,0.012167019795988991,83568.25142255005
(all),(all),EE,qx,72,0.012590505613724434,0.012430411964222525,88502.2773295198
(all),(all),EE,qx,73,0.013722667554507092,0.013004553701722283,88313.93943248532
(all),(all),EE,qx,74,0.015060285882870202,0.015259789604539671,80769.37510913744
(all),(all),EE,qx,75,0.01666566102721984,0.016183021670134128,72203.33903356917
(all),(all),EE,qx,76,0.018629513355127837,0.017251656554020115,60740.97848110793
(all),(all),EE,qx,77,0.02105554946854278,0.019523261853358738,49807.97193286166
(all),(all),EE,qx,78,0.024034641244500256,0.023995990734724006,40103.11402227909
(all),(all),EE,qx,79,0.027632984236659802,0.02947012361933915,36040.41900496763
(all),(all),EE,qx,80,0.031910821037749955,0.03299142589843934,33000.6726328466
(all),(all),EE,qx,81,0.03694918502357271,0.03584574995155056,30493.206074062924
(all),(all),EE,qx,82,0.04284217444527482,0.04157002973883048,28855.845529128404
(all),(all),EE,qx,83,0.049660070049843866,0.04763319019598797,26908.31341261478
(all),(all),EE,qx,84,0.05742729944511226,0.05668087885771573,25268.242503387024
(all),(all),EE,qx,85,0.06608458540772964,0.06822979290371493,23683.580287520697
(all),(all),EE,qx,86,0.07547203058746993,0.07130997896987153,22029.42764564203
(all),(all),EE,qx,87,0.08533976959203968,0.08498102819704656,19762.900895679664
(all),(all),EE,qx,88,0.09526584888081135,0.09941587452075727,17721.933170254404
(all),(all),EE,qx,89,0.10468115478656001,0.10977691264245787,15565.765422248984
(all),(all),EE,qx,90,0.1129307787963199,0.11639063444058567,13683.1603868734
(all),(all),EE,qx,91,0.119336890820486,0.12478140034224397,11736.891253951528
(all),(all),EE,qx,92,0.12326485371600926,0.14348290582291856,9956.516393195845
(all),(all),EE,qx,93,0.12421895641354634,0.15800858546696006,7927.127239199157
(all),(all),EE,qx,94,0.12197939625507306,0.15302308378120294,6149.62602739726
(all),(all),EE,qx,95,0.11667000433345767,0.1597426970010932,4556.213066385669
(all),(all),EE,qx,96,0.10871565723491078,0.15481645837534472,3438.4939259370767
(all),(all),EE,qx,97,0.09877340345619107,0.13457018432261703,2696.18490139997
(all),(all),EE,qx,98,0.08761655382913033,0.1347651941921659,2401.3488107782628
(all),(all),EE,qx,99,0.07600992913134345,0.11513867301419145,2357.3315896432337
(all),(all),EE,sx,0,NA,0.06007776777595611,224045.44820111396
(all),(all),EE,sx,1,NA,0.06456701435407534,392380.19653770886
(all),(all),EE,sx,2,NA,0.050947961403098534,380778.5224747855
(all),(all),EE,sx,3,NA,0.0411434312115149,363100.96610718046
(all),(all),EE,sx,4,NA,0.03346873598812312,401664.6378744543
(all),(all),EE,sx,5,NA,0.029092563054458464,398855.1133599277
(all),(all),EE,sx,6,NA,0.025025614121202404,376636.72151889204
(all),(all),EE,sx,7,NA,0.019270716721953105,353886.7298359175
(all),(all),EE,sx,8,NA,0.016875428457930167,329631.0038612073
(all),(all),EE,sx,9,NA,0.012214412797783371,308882.3922173717
(all),(all),EE,sx,10,NA,0.016692376701140762,210005.8180415475
(all),(all),EE,sx,11,NA,0.03543211198788087,115299.8987054042
(all),(all),EE,sx,12,NA,0.01942191813214989,100701.73514978173
(all),(all),EE,sx,13,NA,0.016739601926307766,98691.46941893722
(all),(all),EE,sx,14,NA,0.014867754137830232,95733.34392593708
(all),(all),EE,sx,15,NA,0.01387224639259625,81823.2302875207
(all),(all),EE,sx,16,NA,0.010293291691712366,62243.01994580762
(all),(all),EE,sx,17,NA,0.009218297792674718,49778.73276381153
(all),(all),EE,sx,18,NA,0.007560305989706439,38608.545152792416
(all),(all),EE,sx,19,NA,0.0070343634940296385,31023.38077675749
(all),(all),EE,sx,20,NA,0.008264894801244196,23014.292029203672
(all),(all),EE,sx,21,NA,0.01102959156720268,16590.394708715943
(all),(all),EE,sx,22,NA,0.011765107178477735,14195.512923377992
(all),(all),EE,sx,23,NA,0.012118384429134547,12220.868320036128
(all),(all),EE,sx,24,NA,0.00804165572940941,13004.512577148878
(all),(all),EE,sx,25,NA,0.007735584279801226,11460.77184254102
(all),(all),EE,sx,26,NA,0.007862435799106721,9754.902702092428
(all),(all),EE,sx,27,NA,0.009589654528746022,8509.881552009634
(all),(all),EE,sx,28,NA,0.01036024176062418,7585.80468161975
(all),(all),EE,sx,29,NA,0.007621073395610748,5097.889372271564
(all),(all),EE,sx,30,NA,0.007991793839494124,3988.1072933915398
(all),(all),EE,sx,31,NA,0.007930862560485617,3390.921624266145
(all),(all),EE,sx,32,NA,0.009104101094997064,2952.196417281349
(all),(all),EE,sx,33,NA,0.006588715318264997,2722.943805509559
(all),(all),EE,sx,34,NA,0.00588030013331808,2882.508896582869
(all),(all),EE,sx,35,NA,0.006230710738670216,3039.911342766822
(all),(all),EE,sx,36,NA,0.007251164545119007,2885.5865346981786
(all),(all),EE,sx,37,NA,0.003676165491662426,2715.2257413819057
(all),(all),EE,sx,38,NA,0.009514994843672155,2510.3345250639773
(all),(all),EE,sx,39,NA,0.003334162565947018,2395.4031010085805
(all),(all),EE,sx,40,NA,0.006670081334551617,2540.1945581815444
(all),(all),lfd,qx,0,1.1865302474709716e-4,6.083465448153025e-4,6573.199668824326
(all),(all),lfd,qx,1,1.0663783813487092e-4,2.6386917007352933e-4,26524.798088213156
